Program     program
IntType     int
BooleanType boolean
If          if
Then        then
Else        else
While       while
Function    function
Return      return
Identifier  <id>
IntLit      <int>
LeftBrace   {
RightBrace  }
LeftParen   (
RightParen  )
Comma       ,
Assign      =
Equal       ==
NotEqual    !=
Less        <
LessEqual   <=
Plus        +
Minus       -
Or          |
And         &
Multiply    *
Divide      /
Comment     //
Greater     >
GreaterEqual >=
BinaryType  binary
BinaryLit   <binary>
CharType    char
CharLit     <char>
BoolAnd     and
BoolOr      or
BoolXor     xor
Iterate     iter
Pipette     |-
Tilde       ~
